frequency,raw
20.00,-0.19723
20.20,-0.18560
20.40,-0.17447
20.61,-0.16347
20.81,-0.15368
21.02,-0.14476
21.23,-0.13645
21.44,-0.13044
21.66,-0.12496
21.87,-0.12180
22.09,-0.12012
22.31,-0.11985
22.54,-0.12236
22.76,-0.12587
22.99,-0.13181
23.22,-0.13952
23.45,-0.14832
23.69,-0.15977
23.92,-0.17165
24.16,-0.18495
24.40,-0.19946
24.65,-0.21491
24.89,-0.23008
25.14,-0.24586
25.39,-0.26134
25.65,-0.27704
25.91,-0.29161
26.16,-0.30461
26.43,-0.31754
26.69,-0.32846
26.96,-0.33788
27.23,-0.34579
27.50,-0.35218
27.77,-0.35657
28.05,-0.35940
28.33,-0.36087
28.62,-0.36107
28.90,-0.36009
29.19,-0.35819
29.48,-0.35594
29.78,-0.35352
30.08,-0.35136
30.38,-0.34989
30.68,-0.34972
30.99,-0.35107
31.30,-0.35424
31.61,-0.35947
31.93,-0.36721
32.24,-0.37703
32.57,-0.39034
32.89,-0.40580
33.22,-0.42397
33.55,-0.44411
33.89,-0.46653
34.23,-0.49018
34.57,-0.51455
34.92,-0.53982
35.27,-0.56470
35.62,-0.58867
35.97,-0.61123
36.33,-0.63253
36.70,-0.65208
37.06,-0.66863
37.43,-0.68298
37.81,-0.69498
38.19,-0.70444
38.57,-0.71169
38.95,-0.71718
39.34,-0.72155
39.74,-0.72539
40.14,-0.72927
40.54,-0.73390
40.94,-0.73990
41.35,-0.74802
41.76,-0.75864
42.18,-0.77253
42.60,-0.78930
43.03,-0.80927
43.46,-0.83171
43.90,-0.85665
44.33,-0.88233
44.78,-0.90967
45.23,-0.93653
45.68,-0.96212
46.13,-0.98573
46.60,-1.00724
47.06,-1.02512
47.53,-1.04007
48.01,-1.05185
48.49,-1.06034
48.97,-1.06658
49.46,-1.07142
49.96,-1.07581
50.46,-1.08088
50.96,-1.08778
51.47,-1.09782
51.99,-1.11148
52.51,-1.12977
53.03,-1.15196
53.56,-1.17856
54.10,-1.20885
54.64,-1.24119
55.18,-1.27435
55.74,-1.30814
56.29,-1.33948
56.86,-1.36899
57.42,-1.39442
58.00,-1.41670
58.58,-1.43540
59.16,-1.45081
59.76,-1.46484
60.35,-1.47788
60.96,-1.49214
61.57,-1.50833
62.18,-1.52762
62.80,-1.55080
63.43,-1.57783
64.07,-1.60834
64.71,-1.64086
65.35,-1.67383
66.01,-1.70694
66.67,-1.73794
67.33,-1.76589
68.01,-1.79143
68.69,-1.81422
69.37,-1.83540
70.07,-1.85712
70.77,-1.88054
71.48,-1.90766
72.19,-1.93925
72.91,-1.97609
73.64,-2.01762
74.38,-2.06226
75.12,-2.10700
75.87,-2.14960
76.63,-2.18724
77.40,-2.21745
78.17,-2.23837
78.95,-2.24974
79.74,-2.25180
80.54,-2.24551
81.35,-2.23206
82.16,-2.21308
82.98,-2.18909
83.81,-2.15976
84.65,-2.12350
85.50,-2.07790
86.35,-2.02123
87.22,-1.94931
88.09,-1.86204
88.97,-1.75908
89.86,-1.64121
90.76,-1.51242
91.66,-1.37835
92.58,-1.24085
93.51,-1.10549
94.44,-0.97594
95.39,-0.85010
96.34,-0.72917
97.30,-0.61016
98.28,-0.49046
99.26,-0.37282
100.25,-0.25852
101.25,-0.15135
102.27,-0.05432
103.29,0.02831
104.32,0.09796
105.37,0.15944
106.42,0.21781
107.48,0.27976
108.56,0.34968
109.64,0.42603
110.74,0.50589
111.85,0.58170
112.97,0.64701
114.10,0.69872
115.24,0.73847
116.39,0.77176
117.55,0.80501
118.73,0.84279
119.92,0.88439
121.12,0.92534
122.33,0.95992
123.55,0.98457
124.79,1.00148
126.03,1.01673
127.29,1.03852
128.57,1.07153
129.85,1.11409
131.15,1.15969
132.46,1.19971
133.79,1.23019
135.12,1.25369
136.48,1.27930
137.84,1.31442
139.22,1.36071
140.61,1.41021
142.02,1.45005
143.44,1.47013
144.87,1.47105
146.32,1.46351
147.78,1.46124
149.26,1.47182
150.75,1.49239
152.26,1.51383
153.78,1.52909
155.32,1.54003
156.88,1.55486
158.44,1.57834
160.03,1.60540
161.63,1.61160
163.24,1.60706
164.88,1.58641
166.53,1.56873
168.19,1.57203
169.87,1.59831
171.57,1.63142
173.29,1.65042
175.02,1.64762
176.77,1.63337
178.54,1.62216
180.32,1.61633
182.13,1.60582
183.95,1.58387
185.79,1.55915
187.65,1.54854
189.52,1.55705
191.42,1.56998
193.33,1.56776
195.27,1.54813
197.22,1.52757
199.19,1.51736
201.18,1.50821
203.19,1.48357
205.23,1.44550
207.28,1.41690
209.35,1.41187
211.44,1.41638
213.56,1.40702
215.69,1.38235
217.85,1.36158
220.03,1.35183
222.23,1.33497
224.45,1.29734
226.70,1.25463
228.96,1.23115
231.25,1.22487
233.57,1.21822
235.90,1.20124
238.26,1.20662
240.64,1.21434
243.05,1.19700
245.48,1.15793
247.93,1.13220
250.41,1.13024
252.92,1.12417
255.45,1.10613
258.00,1.10640
260.58,1.13091
263.19,1.13960
265.82,1.11539
268.48,1.09298
271.16,1.09435
273.87,1.10774
276.61,1.13697
279.38,1.18790
282.17,1.21893
284.99,1.20926
287.84,1.19306
290.72,1.19684
293.63,1.19672
296.57,1.18496
299.53,1.17929
302.53,1.16718
305.55,1.15763
308.61,1.15092
311.69,1.14945
314.81,1.09820
317.96,1.05829
321.14,1.04272
324.35,1.03296
327.59,1.00842
330.87,0.96389
334.18,0.89895
337.52,0.83098
340.90,0.80428
344.30,0.75407
347.75,0.69143
351.23,0.64738
354.74,0.62409
358.28,0.59149
361.87,0.58043
365.49,0.55091
369.14,0.53934
372.83,0.56945
376.56,0.56482
380.33,0.59720
384.13,0.62035
387.97,0.64223
391.85,0.69293
395.77,0.71669
399.73,0.75760
403.72,0.77965
407.76,0.78786
411.84,0.84865
415.96,0.88197
420.12,0.88460
424.32,0.88563
428.56,0.89605
432.85,0.91888
437.18,0.92219
441.55,0.95788
445.96,0.96658
450.42,0.98385
454.93,0.96231
459.48,0.97477
464.07,0.98398
468.71,0.93408
473.40,0.90643
478.13,0.92166
482.91,0.91873
487.74,0.87142
492.62,0.85660
497.55,0.80689
502.52,0.76905
507.55,0.74893
512.62,0.70930
517.75,0.65245
522.93,0.62270
528.16,0.58950
533.44,0.57187
538.77,0.53367
544.16,0.50286
549.60,0.45896
555.10,0.43095
560.65,0.42172
566.25,0.41089
571.92,0.37266
577.64,0.33285
583.41,0.37291
589.25,0.36091
595.14,0.35251
601.09,0.37498
607.10,0.40234
613.17,0.46370
619.30,0.48898
625.50,0.52200
631.75,0.58230
638.07,0.62045
644.45,0.68105
650.89,0.73578
657.40,0.74697
663.98,0.80375
670.62,0.84126
677.32,0.89251
684.10,0.91974
690.94,0.95931
697.85,0.96480
704.83,1.00201
711.87,1.01837
718.99,1.04704
726.18,1.03132
733.44,1.06219
740.78,1.06281
748.19,1.09183
755.67,1.10382
763.23,1.13140
770.86,1.15838
778.57,1.15783
786.35,1.17992
794.22,1.20662
802.16,1.21778
810.18,1.20748
818.28,1.18198
826.46,1.16272
834.73,1.13365
843.08,1.03752
851.51,0.98523
860.02,0.91862
868.62,0.84243
877.31,0.74141
886.08,0.67618
894.94,0.58354
903.89,0.50296
912.93,0.40872
922.06,0.34438
931.28,0.27848
940.59,0.17135
950.00,0.10937
959.50,0.06425
969.09,0.04596
978.78,0.03535
988.57,0.00519
998.46,-0.00422
1008.44,0.02313
1018.53,0.04874
1028.71,0.10231
1039.00,0.15837
1049.39,0.19905
1059.88,0.26750
1070.48,0.35795
1081.19,0.44704
1092.00,0.52702
1102.92,0.60996
1113.95,0.68283
1125.09,0.75805
1136.34,0.85661
1147.70,0.96538
1159.18,1.08436
1170.77,1.16225
1182.48,1.26771
1194.30,1.36514
1206.25,1.47228
1218.31,1.56743
1230.49,1.63391
1242.80,1.69969
1255.22,1.76199
1267.78,1.83706
1280.45,1.90044
1293.26,1.96986
1306.19,2.03935
1319.25,2.10704
1332.45,2.16519
1345.77,2.23491
1359.23,2.30595
1372.82,2.36208
1386.55,2.42029
1400.41,2.49230
1414.42,2.56560
1428.56,2.63504
1442.85,2.73763
1457.28,2.83296
1471.85,2.92161
1486.57,3.03322
1501.43,3.15244
1516.45,3.24712
1531.61,3.36736
1546.93,3.44313
1562.40,3.50533
1578.02,3.55785
1593.80,3.62048
1609.74,3.66995
1625.84,3.73280
1642.10,3.76529
1658.52,3.78601
1675.10,3.81695
1691.85,3.82589
1708.77,3.84953
1725.86,3.86579
1743.12,3.87847
1760.55,3.88725
1778.15,3.90429
1795.94,3.90043
1813.90,3.95298
1832.03,3.97447
1850.36,4.02665
1868.86,4.07605
1887.55,4.12810
1906.42,4.19034
1925.49,4.25151
1944.74,4.32358
1964.19,4.39906
1983.83,4.48689
2003.67,4.55662
2023.71,4.64906
2043.94,4.72057
2064.38,4.80702
2085.03,4.88771
2105.88,5.00860
2126.94,5.11596
2148.20,5.21784
2169.69,5.31084
2191.38,5.40001
2213.30,5.51525
2235.43,5.61507
2257.78,5.70237
2280.36,5.82418
2303.17,5.90730
2326.20,6.03042
2349.46,6.15938
2372.95,6.27428
2396.68,6.39557
2420.65,6.54186
2444.86,6.68118
2469.31,6.82980
2494.00,6.99969
2518.94,7.15363
2544.13,7.29017
2569.57,7.46463
2595.27,7.62560
2621.22,7.79044
2647.43,7.95083
2673.90,8.07689
2700.64,8.20387
2727.65,8.33770
2754.93,8.47238
2782.48,8.56778
2810.30,8.68278
2838.40,8.73982
2866.79,8.80093
2895.46,8.84739
2924.41,8.88206
2953.65,8.90683
2983.19,8.91413
3013.02,8.91137
3043.15,8.87512
3073.58,8.83282
3104.32,8.79481
3135.36,8.72517
3166.72,8.65507
3198.38,8.54975
3230.37,8.46626
3262.67,8.35610
3295.30,8.27813
3328.25,8.18415
3361.53,8.08264
3395.15,7.96790
3429.10,7.86061
3463.39,7.74685
3498.03,7.63766
3533.01,7.54040
3568.34,7.42136
3604.02,7.30950
3640.06,7.21645
3676.46,7.11597
3713.22,7.02911
3750.36,6.95370
3787.86,6.86483
3825.74,6.79390
3864.00,6.71406
3902.64,6.63818
3941.66,6.57017
3981.08,6.53496
4020.89,6.48411
4061.10,6.44013
4101.71,6.39528
4142.73,6.38105
4184.15,6.35542
4226.00,6.35932
4268.26,6.36275
4310.94,6.38034
4354.05,6.39976
4397.59,6.42027
4441.56,6.44953
4485.98,6.49115
4530.84,6.52903
4576.15,6.59440
4621.91,6.64978
4668.13,6.73152
4714.81,6.82527
4761.96,6.92788
4809.58,7.06897
4857.67,7.20247
4906.25,7.35395
4955.31,7.50555
5004.87,7.68169
5054.91,7.87786
5105.46,8.06100
5156.52,8.29040
5208.08,8.51780
5260.16,8.76450
5312.77,9.01401
5365.89,9.24032
5419.55,9.45982
5473.75,9.66625
5528.49,9.82316
5583.77,9.93178
5639.61,9.99030
5696.00,9.98295
5752.96,9.88343
5810.49,9.70795
5868.60,9.45116
5927.28,9.13423
5986.56,8.76599
6046.42,8.33771
6106.89,7.87606
6167.96,7.42689
6229.64,6.96999
6291.93,6.53729
6354.85,6.13833
6418.40,5.76937
6482.58,5.43998
6547.41,5.15112
6612.88,4.90662
6679.01,4.68906
6745.80,4.48206
6813.26,4.30828
6881.39,4.14163
6950.21,3.98924
7019.71,3.84443
7089.91,3.69042
7160.81,3.50096
7232.41,3.28774
7304.74,3.04574
7377.79,2.79183
7451.56,2.50512
7526.08,2.21783
7601.34,1.92020
7677.35,1.62964
7754.13,1.33456
7831.67,1.03960
7909.98,0.75901
7989.08,0.50254
8068.98,0.23587
8149.67,-0.01073
8231.16,-0.24330
8313.47,-0.45815
8396.61,-0.65138
8480.57,-0.83543
8565.38,-1.03292
8651.03,-1.22088
8737.54,-1.40969
8824.92,-1.59252
8913.17,-1.78791
9002.30,-1.96839
9092.32,-2.18124
9183.25,-2.38973
9275.08,-2.62074
9367.83,-2.86427
9461.51,-3.10716
9556.12,-3.38182
9651.68,-3.67525
9748.20,-3.97962
9845.68,-4.28140
9944.14,-4.56714
10043.58,-4.85954
10144.02,-5.12094
10245.46,-5.37138
10347.91,-5.60051
10451.39,-5.83233
10555.91,-6.05594
10661.46,-6.27254
10768.08,-6.50041
10875.76,-6.73076
10984.52,-6.94843
11094.36,-7.17272
11205.31,-7.39498
11317.36,-7.62645
11430.53,-7.85445
11544.84,-8.08022
11660.29,-8.30321
11776.89,-8.52566
