frequency,raw
20.00,-1.29188
20.20,-1.27996
20.40,-1.26844
20.61,-1.25694
20.81,-1.24659
21.02,-1.23695
21.23,-1.22785
21.44,-1.22086
21.66,-1.21430
21.87,-1.20995
22.09,-1.20691
22.31,-1.20521
22.54,-1.20606
22.76,-1.20792
22.99,-1.21204
23.22,-1.21786
23.45,-1.22473
23.69,-1.23411
23.92,-1.24399
24.16,-1.25520
24.40,-1.26763
24.65,-1.28095
24.89,-1.29410
25.14,-1.30786
25.39,-1.32137
25.65,-1.33507
25.91,-1.34775
26.16,-1.35900
26.43,-1.37010
26.69,-1.37933
26.96,-1.38705
27.23,-1.39330
27.50,-1.39806
27.77,-1.40080
28.05,-1.40191
28.33,-1.40159
28.62,-1.39988
28.90,-1.39693
29.19,-1.39284
29.48,-1.38821
29.78,-1.38315
30.08,-1.37814
30.38,-1.37355
30.68,-1.36998
30.99,-1.36754
31.30,-1.36667
31.61,-1.36761
31.93,-1.37068
32.24,-1.37577
32.57,-1.38385
32.89,-1.39409
33.22,-1.40679
33.55,-1.42143
33.89,-1.43820
34.23,-1.45626
34.57,-1.47513
34.92,-1.49489
35.27,-1.51444
35.62,-1.53326
35.97,-1.55088
36.33,-1.56731
36.70,-1.58204
37.06,-1.59408
37.43,-1.60394
37.81,-1.61142
38.19,-1.61640
38.57,-1.61918
38.95,-1.62016
39.34,-1.61979
39.74,-1.61861
40.14,-1.61730
40.54,-1.61652
40.94,-1.61690
41.35,-1.61904
41.76,-1.62350
42.18,-1.63091
42.60,-1.64110
43.03,-1.65431
43.46,-1.67002
43.90,-1.68818
44.33,-1.70739
44.78,-1.72821
45.23,-1.74881
45.68,-1.76840
46.13,-1.78627
46.60,-1.80208
47.06,-1.81457
47.53,-1.82416
48.01,-1.83054
48.49,-1.83361
48.97,-1.83433
49.46,-1.83337
49.96,-1.83156
50.46,-1.83015
50.96,-1.83024
51.47,-1.83298
51.99,-1.83894
52.51,-1.84927
53.03,-1.86336
53.56,-1.88166
54.10,-1.90355
54.64,-1.92764
55.18,-1.95279
55.74,-1.97858
56.29,-2.00241
56.86,-2.02452
57.42,-2.04304
58.00,-2.05855
58.58,-2.07082
59.16,-2.08018
59.76,-2.08829
60.35,-2.09589
60.96,-2.10492
61.57,-2.11630
62.18,-2.13121
62.80,-2.15039
63.43,-2.17373
64.07,-2.20083
64.71,-2.23014
65.35,-2.25992
66.01,-2.28956
66.67,-2.31668
67.33,-2.34011
68.01,-2.36012
68.69,-2.37639
69.37,-2.39001
70.07,-2.40293
70.77,-2.41671
71.48,-2.43350
72.19,-2.45457
72.91,-2.48102
73.64,-2.51273
74.38,-2.54849
75.12,-2.58568
75.87,-2.62208
76.63,-2.65485
77.40,-2.68142
78.17,-2.69974
78.95,-2.70925
79.74,-2.70992
80.54,-2.70251
81.35,-2.68801
82.16,-2.66793
82.98,-2.64272
83.81,-2.61199
84.65,-2.57412
85.50,-2.52665
86.35,-2.46776
87.22,-2.39310
88.09,-2.30244
88.97,-2.19527
89.86,-2.07218
90.76,-1.93709
91.66,-1.79575
92.58,-1.64993
93.51,-1.50545
94.44,-1.36622
95.39,-1.22999
96.34,-1.09818
97.30,-0.96748
98.28,-0.83500
99.26,-0.70372
100.25,-0.57503
101.25,-0.45342
102.27,-0.34283
103.29,-0.24911
104.32,-0.17200
105.37,-0.10748
106.42,-0.05071
107.48,0.00551
108.56,0.06651
109.64,0.13236
110.74,0.20162
111.85,0.26863
112.97,0.32859
114.10,0.37968
115.24,0.42430
116.39,0.46795
117.55,0.51639
118.73,0.57289
119.92,0.63434
121.12,0.69353
122.33,0.74192
123.55,0.77377
124.79,0.79081
126.03,0.80022
127.29,0.81260
128.57,0.83570
129.85,0.87083
131.15,0.91326
132.46,0.95536
133.79,0.99287
135.12,1.02718
136.48,1.06628
137.84,1.11571
139.22,1.17573
140.61,1.23647
142.02,1.28351
143.44,1.30616
144.87,1.30622
146.32,1.29696
147.78,1.29485
149.26,1.30883
150.75,1.33522
152.26,1.36230
153.78,1.38021
155.32,1.38981
156.88,1.40107
158.44,1.42217
160.03,1.45085
161.63,1.46320
163.24,1.46699
164.88,1.45351
166.53,1.43933
168.19,1.44213
169.87,1.46486
171.57,1.49260
173.29,1.50561
175.02,1.49778
176.77,1.48151
178.54,1.47306
180.32,1.47502
182.13,1.47530
183.95,1.46322
185.79,1.44382
187.65,1.43193
189.52,1.43255
191.42,1.43279
193.33,1.41786
195.27,1.39240
197.22,1.37896
199.19,1.38950
201.18,1.40821
203.19,1.40704
205.23,1.37923
207.28,1.34724
209.35,1.33094
211.44,1.32277
213.56,1.30402
215.69,1.27757
217.85,1.26619
220.03,1.27608
222.23,1.28080
224.45,1.25481
226.70,1.20808
228.96,1.16940
231.25,1.14590
233.57,1.12746
235.90,1.10730
238.26,1.11703
240.64,1.13195
243.05,1.11866
245.48,1.07877
247.93,1.05131
250.41,1.04969
252.92,1.04293
255.45,1.01952
258.00,1.01274
260.58,1.03496
263.19,1.04913
265.82,1.03815
268.48,1.03552
271.16,1.05367
273.87,1.06217
276.61,1.05942
279.38,1.07814
282.17,1.11331
284.99,1.14577
287.84,1.16990
290.72,1.17459
293.63,1.13978
296.57,1.09617
299.53,1.09055
302.53,1.10163
305.55,1.10688
308.61,1.09095
311.69,1.07162
314.81,1.01830
317.96,0.99331
321.14,0.98532
324.35,0.96098
327.59,0.92185
330.87,0.88987
334.18,0.85391
337.52,0.80073
340.90,0.76809
344.30,0.71054
347.75,0.65848
351.23,0.63711
354.74,0.61882
358.28,0.56317
361.87,0.53082
365.49,0.50471
369.14,0.50198
372.83,0.52300
376.56,0.49594
380.33,0.50796
384.13,0.52971
387.97,0.57076
391.85,0.62954
395.77,0.64549
399.73,0.69884
403.72,0.74827
407.76,0.75926
411.84,0.79388
415.96,0.81540
420.12,0.84219
424.32,0.85787
428.56,0.85201
432.85,0.86043
437.18,0.88035
441.55,0.93311
445.96,0.93577
450.42,0.97815
454.93,0.97633
459.48,0.95071
464.07,0.93891
468.71,0.93097
473.40,0.91978
478.13,0.87688
482.91,0.86073
487.74,0.86871
492.62,0.84259
497.55,0.77127
502.52,0.76062
507.55,0.73782
512.62,0.71356
517.75,0.67503
522.93,0.62619
528.16,0.56605
533.44,0.56090
538.77,0.51328
544.16,0.45848
549.60,0.41006
555.10,0.40084
560.65,0.37931
566.25,0.36988
571.92,0.36882
577.64,0.32109
583.41,0.32566
589.25,0.34628
595.14,0.35992
601.09,0.37389
607.10,0.39886
613.17,0.44622
619.30,0.50892
625.50,0.52202
631.75,0.54624
638.07,0.62840
644.45,0.68074
650.89,0.72938
657.40,0.76329
663.98,0.79258
670.62,0.84591
677.32,0.88736
684.10,0.91431
690.94,0.93658
697.85,0.95577
704.83,1.02394
711.87,1.03028
718.99,1.05613
726.18,1.05615
733.44,1.06459
740.78,1.07119
748.19,1.09901
755.67,1.12521
763.23,1.13044
770.86,1.16510
778.57,1.15837
786.35,1.17179
794.22,1.20013
802.16,1.21014
810.18,1.19775
818.28,1.20228
826.46,1.15768
834.73,1.13397
843.08,1.03743
851.51,0.96446
860.02,0.90390
868.62,0.84437
877.31,0.71503
886.08,0.63804
894.94,0.54228
903.89,0.44929
912.93,0.38039
922.06,0.33610
931.28,0.27066
940.59,0.17307
950.00,0.10914
959.50,0.06875
969.09,0.05778
978.78,0.02436
988.57,0.00987
998.46,-0.00481
1008.44,0.02634
1018.53,0.05201
1028.71,0.09886
1039.00,0.14568
1049.39,0.19792
1059.88,0.28213
1070.48,0.37955
1081.19,0.45407
1092.00,0.52826
1102.92,0.61311
1113.95,0.69578
1125.09,0.77673
1136.34,0.85983
1147.70,0.97581
1159.18,1.04850
1170.77,1.14872
1182.48,1.24035
1194.30,1.34003
1206.25,1.44173
1218.31,1.54727
1230.49,1.61648
1242.80,1.68522
1255.22,1.75794
1267.78,1.82534
1280.45,1.89253
1293.26,1.96594
1306.19,2.04527
1319.25,2.11273
1332.45,2.17410
1345.77,2.23036
1359.23,2.29222
1372.82,2.35591
1386.55,2.42068
1400.41,2.48179
1414.42,2.54968
1428.56,2.62585
1442.85,2.72268
1457.28,2.81319
1471.85,2.93590
1486.57,3.04488
1501.43,3.14315
1516.45,3.23886
1531.61,3.35653
1546.93,3.42857
1562.40,3.51132
1578.02,3.56146
1593.80,3.62277
1609.74,3.66260
1625.84,3.70688
1642.10,3.74645
1658.52,3.76645
1675.10,3.79989
1691.85,3.81768
1708.77,3.82245
1725.86,3.84554
1743.12,3.84425
1760.55,3.86196
1778.15,3.88606
1795.94,3.88429
1813.90,3.93651
1832.03,3.96417
1850.36,4.01962
