frequency,raw
20.00,2.18416
20.20,2.19876
20.40,2.21233
20.61,2.22547
20.81,2.23687
21.02,2.24680
21.23,2.25582
21.44,2.26157
21.66,2.26645
21.87,2.26824
22.09,2.26791
22.31,2.26566
22.54,2.25955
22.76,2.25223
22.99,2.24154
23.22,2.22850
23.45,2.21400
23.69,2.19583
23.92,2.17719
24.16,2.15648
24.40,2.13406
24.65,2.11015
24.89,2.08664
25.14,2.06188
25.39,2.03731
25.65,2.01205
25.91,1.98781
26.16,1.96548
26.43,1.94246
26.69,1.92181
26.96,1.90229
27.23,1.88431
27.50,1.86786
27.77,1.85344
28.05,1.84022
28.33,1.82837
28.62,1.81742
28.90,1.80802
29.19,1.79916
29.48,1.79066
29.78,1.78195
30.08,1.77300
30.38,1.76341
30.68,1.75259
30.99,1.74001
31.30,1.72578
31.61,1.70972
31.93,1.69109
32.24,1.67106
32.57,1.64737
32.89,1.62239
33.22,1.59498
33.55,1.56624
33.89,1.53565
34.23,1.50457
34.57,1.47351
34.92,1.44211
35.27,1.41183
35.62,1.38314
35.97,1.35647
36.33,1.33150
36.70,1.30866
37.06,1.28925
37.43,1.27219
37.81,1.25751
38.19,1.24535
38.57,1.23523
38.95,1.22658
39.34,1.21854
39.74,1.21041
40.14,1.20161
40.54,1.19138
40.94,1.17909
41.35,1.16381
41.76,1.14533
42.18,1.12271
42.60,1.09669
43.03,1.06681
43.46,1.03415
43.90,0.99854
44.33,0.96232
44.78,0.92395
45.23,0.88610
45.68,0.84961
46.13,0.81516
46.60,0.78239
47.06,0.75347
47.53,0.72716
48.01,0.70360
48.49,0.68307
48.97,0.66447
49.46,0.64667
49.96,0.62863
50.46,0.60962
50.96,0.58853
51.47,0.56392
51.99,0.53545
52.51,0.50266
53.03,0.46640
53.56,0.42611
54.10,0.38264
54.64,0.33795
55.18,0.29328
55.74,0.24829
56.29,0.20659
56.86,0.16673
57.42,0.13133
58.00,0.09868
58.58,0.06936
59.16,0.04287
59.76,0.01686
60.35,-0.00850
60.96,-0.03596
61.57,-0.06565
62.18,-0.09847
62.80,-0.13516
63.43,-0.17543
64.07,-0.21867
64.71,-0.26300
65.35,-0.30697
66.01,-0.35068
66.67,-0.39173
67.33,-0.42949
68.01,-0.46524
68.69,-0.49866
69.37,-0.53113
70.07,-0.56527
70.77,-0.60192
71.48,-0.64309
72.19,-0.68903
72.91,-0.74035
73.64,-0.79605
74.38,-0.85413
75.12,-0.91111
75.87,-0.96478
76.63,-1.01226
77.40,-1.05118
78.17,-1.07973
78.95,-1.09796
79.74,-1.10629
80.54,-1.10586
81.35,-1.09799
82.16,-1.08440
82.98,-1.06590
83.81,-1.04243
84.65,-1.01287
85.50,-0.97541
86.35,-0.92885
87.22,-0.87005
88.09,-0.79935
88.97,-0.71683
89.86,-0.62352
90.76,-0.52266
91.66,-0.41843
92.58,-0.31149
93.51,-0.20480
94.44,-0.09964
95.39,0.00761
96.34,0.11681
97.30,0.23110
98.28,0.35199
99.26,0.47507
100.25,0.59697
101.25,0.71151
102.27,0.81358
103.29,0.89711
104.32,0.96237
105.37,1.01373
106.42,1.05661
107.48,1.09826
108.56,1.14381
109.64,1.19360
110.74,1.24603
111.85,1.29591
112.97,1.33881
114.10,1.37298
115.24,1.40030
116.39,1.42524
117.55,1.45244
118.73,1.48438
119.92,1.51885
121.12,1.55092
122.33,1.57535
123.55,1.58988
124.79,1.59795
126.03,1.60669
127.29,1.62442
128.57,1.65555
129.85,1.69786
131.15,1.74394
132.46,1.78387
133.79,1.81181
135.12,1.82825
136.48,1.84015
137.84,1.85510
139.22,1.87670
140.61,1.90196
142.02,1.92425
143.44,1.93861
144.87,1.94650
146.32,1.95458
147.78,1.96889
149.26,1.98903
150.75,2.00649
152.26,2.01089
153.78,1.99849
155.32,1.97694
156.88,1.96092
158.44,1.96079
160.03,1.97462
161.63,1.97950
163.24,1.98208
164.88,1.96954
166.53,1.95148
168.19,1.93999
169.87,1.93832
171.57,1.93957
173.29,1.93580
175.02,1.92855
176.77,1.92801
178.54,1.94054
180.32,1.95812
182.13,1.96298
183.95,1.94406
185.79,1.90904
187.65,1.87612
189.52,1.85510
191.42,1.83942
193.33,1.81900
195.27,1.79531
197.22,1.78022
199.19,1.77647
201.18,1.76958
203.19,1.74425
205.23,1.70694
207.28,1.68245
209.35,1.68229
211.44,1.68722
213.56,1.66912
215.69,1.62597
217.85,1.58272
220.03,1.55842
222.23,1.54613
224.45,1.53208
226.70,1.51683
228.96,1.50406
231.25,1.48082
233.57,1.43385
235.90,1.36981
238.26,1.34036
240.64,1.33914
243.05,1.33724
245.48,1.31766
247.93,1.29523
250.41,1.28180
252.92,1.26760
255.45,1.25151
258.00,1.25021
260.58,1.26025
263.19,1.25415
265.82,1.23354
268.48,1.23510
271.16,1.26672
273.87,1.29444
276.61,1.30090
279.38,1.29787
282.17,1.28746
284.99,1.28500
287.84,1.30494
290.72,1.32872
293.63,1.32273
296.57,1.30258
299.53,1.29887
302.53,1.29117
305.55,1.27696
308.61,1.25567
311.69,1.24554
314.81,1.20602
317.96,1.18500
321.14,1.17020
324.35,1.13622
327.59,1.07968
330.87,1.02435
334.18,0.98061
337.52,0.93539
340.90,0.90776
344.30,0.85026
347.75,0.79218
351.23,0.75722
354.74,0.73279
358.28,0.68274
361.87,0.65607
365.49,0.62527
369.14,0.60824
372.83,0.62811
376.56,0.61410
380.33,0.63223
384.13,0.66351
387.97,0.70879
391.85,0.74794
395.77,0.74942
399.73,0.80331
403.72,0.84956
407.76,0.84404
411.84,0.86618
415.96,0.89325
420.12,0.91146
424.32,0.91914
428.56,0.93798
432.85,0.96549
437.18,0.94739
441.55,0.95631
445.96,0.97740
450.42,1.03314
454.93,1.03448
459.48,1.02026
464.07,1.00128
468.71,0.96995
473.40,0.95173
478.13,0.93721
482.91,0.91562
487.74,0.86776
492.62,0.84312
497.55,0.81331
502.52,0.78893
507.55,0.74852
512.62,0.71410
517.75,0.66261
522.93,0.61713
528.16,0.58613
533.44,0.55165
538.77,0.49681
544.16,0.47013
549.60,0.43216
555.10,0.40955
560.65,0.40851
566.25,0.38432
571.92,0.36386
577.64,0.35620
583.41,0.36163
589.25,0.38213
595.14,0.38358
601.09,0.38951
607.10,0.42992
613.17,0.46226
619.30,0.50226
625.50,0.54285
631.75,0.58945
638.07,0.64450
644.45,0.69043
650.89,0.74438
657.40,0.79673
663.98,0.83761
670.62,0.86933
677.32,0.91151
684.10,0.95061
690.94,0.99136
697.85,0.99980
704.83,1.03525
711.87,1.05916
718.99,1.06256
726.18,1.04849
733.44,1.04403
740.78,1.06309
748.19,1.08557
755.67,1.09446
763.23,1.10639
770.86,1.13280
778.57,1.15781
786.35,1.15544
794.22,1.19891
802.16,1.19837
810.18,1.19687
818.28,1.17260
826.46,1.13607
834.73,1.11871
843.08,1.03440
851.51,0.94901
860.02,0.87186
868.62,0.81485
877.31,0.71240
886.08,0.61170
894.94,0.53061
903.89,0.45629
912.93,0.37763
922.06,0.30605
931.28,0.23725
940.59,0.16916
950.00,0.10949
959.50,0.05285
969.09,0.03276
978.78,0.01349
988.57,-0.00130
998.46,-0.00409
1008.44,0.02242
1018.53,0.05926
1028.71,0.09952
1039.00,0.12053
1049.39,0.18476
1059.88,0.26955
1070.48,0.33770
1081.19,0.41341
1092.00,0.50813
1102.92,0.60142
1113.95,0.64780
1125.09,0.75243
1136.34,0.83872
1147.70,0.93289
1159.18,1.02926
1170.77,1.11305
1182.48,1.20542
1194.30,1.29879
1206.25,1.41184
1218.31,1.49704
1230.49,1.58844
1242.80,1.66609
1255.22,1.72156
1267.78,1.80073
1280.45,1.88930
1293.26,1.95744
1306.19,2.00986
1319.25,2.08111
1332.45,2.14127
1345.77,2.20357
1359.23,2.26892
1372.82,2.33133
1386.55,2.38786
1400.41,2.46012
1414.42,2.53846
1428.56,2.60947
1442.85,2.69471
1457.28,2.80915
1471.85,2.90164
1486.57,3.01358
1501.43,3.10871
1516.45,3.21023
1531.61,3.30631
1546.93,3.39743
1562.40,3.47065
1578.02,3.51408
1593.80,3.56525
1609.74,3.62629
1625.84,3.65602
1642.10,3.71971
1658.52,3.71317
1675.10,3.74720
1691.85,3.75446
1708.77,3.76910
1725.86,3.78719
1743.12,3.79648
1760.55,3.83250
1778.15,3.85367
1795.94,3.86530
1813.90,3.90158
1832.03,3.94741
1850.36,4.00378
1868.86,4.05036
1887.55,4.10235
1906.42,4.15704
1925.49,4.21509
1944.74,4.29233
1964.19,4.37207
1983.83,4.45452
2003.67,4.53545
2023.71,4.61545
2043.94,4.68975
2064.38,4.76005
2085.03,4.85356
2105.88,4.95839
2126.94,5.05851
2148.20,5.14706
2169.69,5.24094
2191.38,5.35118
2213.30,5.45396
2235.43,5.56497
2257.78,5.65268
2280.36,5.77008
2303.17,5.87025
2326.20,6.00135
2349.46,6.13731
2372.95,6.26241
2396.68,6.37799
2420.65,6.52632
2444.86,6.66605
2469.31,6.81433
2494.00,6.98094
2518.94,7.13374
2544.13,7.28785
2569.57,7.45400
2595.27,7.61453
2621.22,7.78869
2647.43,7.93258
2673.90,8.07450
2700.64,8.21044
2727.65,8.33411
2754.93,8.46048
2782.48,8.56915
2810.30,8.66532
2838.40,8.71782
2866.79,8.77686
2895.46,8.82076
2924.41,8.86028
2953.65,8.87073
2983.19,8.87860
3013.02,8.88118
3043.15,8.83737
3073.58,8.81446
3104.32,8.78791
3135.36,8.73693
3166.72,8.66682
3198.38,8.57817
3230.37,8.49235
3262.67,8.39687
3295.30,8.32419
3328.25,8.23329
3361.53,8.12956
3395.15,8.02076
3429.10,7.91389
3463.39,7.79209
3498.03,7.69369
3533.01,7.58708
3568.34,7.47583
3604.02,7.35859
3640.06,7.26864
3676.46,7.16400
3713.22,7.08451
3750.36,7.01339
3787.86,6.92698
3825.74,6.86835
3864.00,6.79698
3902.64,6.73175
3941.66,6.68297
3981.08,6.65997
4020.89,6.62136
4061.10,6.58648
4101.71,6.55046
4142.73,6.54526
4184.15,6.51986
4226.00,6.53022
4268.26,6.53367
4310.94,6.54809
4354.05,6.57103
4397.59,6.59768
4441.56,6.64535
4485.98,6.69436
4530.84,6.74570
4576.15,6.82551
4621.91,6.90470
4668.13,6.99217
4714.81,7.09369
4761.96,7.20643
4809.58,7.35230
4857.67,7.48086
4906.25,7.64263
4955.31,7.80237
5004.87,7.97562
5054.91,8.18730
5105.46,8.37941
5156.52,8.61018
5208.08,8.86609
5260.16,9.11986
5312.77,9.39131
5365.89,9.63409
5419.55,9.87773
5473.75,10.09361
5528.49,10.26663
